filename,width,height,class,xmin,ymin,xmax,ymax
R31.jpg,640,480,Recyclable Waste,60,1,331,233
M31.jpg,640,480,Mixed Recycling,75,1,372,192
G31.jpg,640,480,General Waste,10,5,292,257
R14.jpg,640,480,Recyclable Waste,398,132,632,458
M14.jpg,640,480,Mixed Recycling,324,137,640,423
G14.jpg,640,480,General Waste,202,1,429,177
R15.jpg,640,480,Recyclable Waste,52,19,355,344
M15.jpg,640,480,Mixed Recycling,319,97,581,455
G15.jpg,640,480,General Waste,167,114,422,380
R7.jpg,640,480,Recyclable Waste,287,55,639,335
M7.jpg,640,480,Mixed Recycling,134,98,407,404
G7.jpg,640,480,General Waste,158,56,361,401
